ZIP_CODE,LOCATION,OWNER1,OWNER2,BLDG_CODE,TOTAL_AREA,LIVABLE_AREA,RECORDING_DATE,brief_desc,STD_OWNER,ABBR,MARKET_VALUE,MARKET_VALUE_DATE,LAST_SALE_PRICE,LAST_SALE_DATE,TAXABLE_LAND_VALUE,TAXABLE_BLDG_VALUE,EXEMPT_LAND_VALUE,EXEMPT_BLDG_VALUE
,,,,,,,,,,,,,,,,,,
191475300,212-18 WHARTON ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,SR,1200,0,3/8/1973,Redevelopment Auth. of Phila,REDEVELOPMENT AUTHORITY OF PHILADELPHIA,RDA,"20,000.00",3/1/2001,1.00,3/8/1973,0.00,0.00,"6,400.00",0.00
191476100,105 REED ST,CITY OF PHILA,,SR,750,0,8/13/1962,City of Phila.,CITY OF PHILADELPHIA,PUBPROP,"4,000.00",5/1/2009,1.00,8/13/1962,0.00,0.00,"1,280.00",0.00
191476100,107 REED ST,CITY OF PHILA,,SR,800,0,6/4/1962,City of Phila.,CITY OF PHILADELPHIA,PUBPROP,"5,000.00",5/1/2009,1.00,6/4/1962,0.00,0.00,"1,600.00",0.00
191476100,109 REED ST,CITY OF PHILA,,SR,800,0,6/4/1962,City of Phila.,CITY OF PHILADELPHIA,PUBPROP,"5,000.00",5/1/2009,1.00,6/4/1962,0.00,0.00,"1,600.00",0.00
191476007,206 REED ST,CITY OF PHILA,,SR,504,0,1/1/1943,City of Phila.,CITY OF PHILADELPHIA,PUBPROP,"4,000.00",5/1/2009,4.00,1/1/1943,0.00,0.00,"1,280.00",0.00
191476007,208 REED ST,CITY OF PHILA,DEPT OF PUBLIC PROP,SR,504,0,1/1/1943,City of Phila.,DEPARTMENT OF PUBLIC PROPERTY,PUBPROP,"4,000.00",5/1/2009,4.00,1/1/1943,0.00,0.00,"1,280.00",0.00
191476007,210 REED ST,CITY OF PHILA,DEPT OF PUBLIC PROP,SR,504,0,1/1/1943,City of Phila.,DEPARTMENT OF PUBLIC PROPERTY,PUBPROP,"4,000.00",5/1/2009,4.00,1/1/1943,0.00,0.00,"1,280.00",0.00
191476004,230-34 DICKINSON ST,CITY OF PHILA,,SR,8174,0,9/1/1978,City of Phila.,CITY OF PHILADELPHIA,PUBPROP,"49,000.00",5/1/2009,1.00,9/1/1978,0.00,0.00,"15,680.00",0.00
191476024,230-32 GREENWICH ST,REDEVELOPMENT AUTHORITY,OF PHILADELPHIA,P50,2624,0,3/8/1973,Redevelopment Auth. of Phila,REDEVELOPMENT AUTHORITY OF PHILADELPHIA,RDA,"32,000.00",3/1/2001,1.00,3/8/1973,0.00,0.00,"2,021.00","8,219.00"
